Coordinate list of the sites
Site	x	y
1	0.387910740260561	0.6697460404470471
2	0.4434528938039328	0.2295772202494828
3	0.4572048092766909	0.4306985702269454
4	0.09280081030759592	0.5181525483942411
5	0.8296033647109392	0.2730499773842876
6	0.5930655168132732	0.6716540917803319
7	0.2896296439440635	0.1421201329947253
8	0.03417131002486876	0.6240299834753723
9	0.446134500736474	0.2221245485798641
10	0.09617225916790671	0.9033701713880556
11	0.08362300531458272	0.9168613345080138
12	0.5843891239472603	0.5659120285542129
13	0.2609789815240786	0.2310154216130633
14	0.4930595936473459	0.5406005085478954
15	0.0298013603185757	0.8831254717862594
16	0.8921358685799121	0.3775843453610762
17	0.361261023657282	0.571008562191335
18	0.6902045898333439	0.647749395953415
19	0.35653171694603	0.7527883504274968
20	0.7869514739408032	0.06406732717284216
21	0.3798032902200094	0.7629200672351353
22	0.7727391433443107	0.1529298225923313
23	0.7090425225640512	0.4706408051674417
24	0.2690010496917696	0.8316925896633037
25	0.47247504144263	0.7427648271287642
26	0.2303628041562625	0.5082475377143042
27	0.3963132882537041	0.1073653083355657
28	0.2887178328493675	0.2317584635547435
29	0.5700666579850389	0.4179265384957184
30	0.289760001888646	0.7173916020507398
31	0.7518729695266909	0.427812635374051
32	0.1533384840143653	0.9371903259589671
33	0.6543237717262742	0.129769612805116
34	0.274645153332525	0.0739689979709902
35	0.9387116979796973	0.3711338954934289
36	0.9817566351545871	0.8930212119196032
37	0.03968350195093596	0.8138763619322202
38	0.5318264463724015	0.1093360639616419
39	0.2156502754778946	0.9164437029383459
40	0.7642416125317884	0.2127336949040378
41	0.09530781168963647	0.1432630070030584
42	0.8396452114741947	0.6232921148009617
43	0.5227366249857158	0.7368114625038994
44	0.4268108438732921	0.7285573967346833
45	0.9252001081942991	0.2035103178482161
46	0.02410162533733772	0.4520016067078216
47	0.6092069883353253	0.03484772447572614
48	0.6931851981522235	0.01271266641692775
49	0.3341852207265598	0.4720834256184797
50	0.8856898609388146	0.5343773369233801
51	0.8962802487849291	0.2414891365633421
52	0.5770676331125674	0.1265261583695465
53	0.9528311244248258	0.2183932351398937
54	0.2352683267824456	0.8151000574913082
55	0.5888399362535982	0.04813679554779809
56	0.8675174547825945	0.7861622371656725
57	0.1577559964742316	0.2094928810440111
58	0.6998840303359498	0.6975094959109168
59	0.004663313008956479	0.2642033042671813
60	0.2402176327030414	0.02316873041233312
61	0.5614589589233322	0.1678307988751324
62	0.2739003249906399	0.009999727463978578
63	0.2988002240314071	0.5407195391261247
64	0.08354634688526591	0.04427229746550846
65	0.06703205093947658	0.8117715137698012
66	0.705682142958493	0.2382109151407206
67	0.5222865681073097	0.9038792628484964
68	0.8387794088554829	0.1392800494358572
69	0.2186829033906381	0.4408283219930929
70	0.008912680141764152	0.5054639308266794
71	0.1575796283818429	0.6051032363010302
72	0.790373521977071	0.2174992189922233
73	0.1562168329358125	0.5103609931315615
74	0.3929402675303543	0.08078372987753767
75	0.6251115898663194	0.3214518322735362
76	0.7043350280261634	0.5853592131833013
77	0.6723345596418491	0.7789222419600229
78	0.04566116719105034	0.4460995057575572
79	0.5540321536598048	0.4113544077942053
80	0.8873080530566408	0.5339343333677897
81	0.3141465254664421	0.7261384370193219
82	0.4875743728342797	0.8414100620869167
83	0.4867427127877604	0.27584589975977
84	0.9211335791624553	0.200474761300016
85	0.7249801210621279	0.3028713210482626
86	0.08861625930141481	0.165689640409276
87	0.9036018670329687	0.2195240891401078
88	0.5642087452654547	0.1324296341532346
89	0.5057262208362652	0.6944068524211348
90	0.8160075054292145	0.04581151894149062
91	0.7357321178461917	0.9096369483374185
92	0.6563158595990413	0.01128031747101251
93	0.6800191463013954	0.5839597883323964
94	0.9586999039230364	0.9869428139074848
95	0.9821423616847966	0.5853529855259896
96	0.9914505690809254	0.7795001881668326
97	0.1062112854650773	0.2806847915060394
98	0.5105993069698957	0.715707933976146
99	0.8378038676892481	0.6960053941287324
100	0.7453215119221999	0.264549312584987
